PLAYER NAME,FEDEX CUP POINTS,AVERAGE DRIVING DISTANCE,Strokes Gained Off the Tee,Strokes gained tee to green,Strokes gained approach to the green,Strokes gained around the green,Strokes gained putting,Strokes gained total,BIRDIE TO BOGEY RATIO,birdie or better % from the rough,Scrambling average distance to the hole,World Ranking,Scoring Average,Percent of Available Purse Won,Official Money Won,,,,,
Charl Schwartzel,410,292.4,-0.013,0.387,0.467,-0.067,0.116,0.503,1.23,15.79,8.83,18,70.603,2.02,1230294 ,,,,,
Charles Howell III,747,296.9,0.296,0.685,0.391,0.079,0.135,0.901,1.85,18.24,7.17,64,70.167,1.65,1696169 ,,,,,
Charley Hoffman,512,293.4,0.505,0.942,0.16,0.015,-0.29,0.391,1.29,13.24,8.75,49,71.32,1.4,1363455 ,,,,,
Chez Reavie,359,281.3,0.213,0.367,0.433,-0.357,0.232,0.521,1.68,22.62,9.92,140,70.726,0.86,755559 ,,,,,
Chris Kirk,358,285.9,-0.221,-0.134,0.028,0.024,0.519,0.35,1.8,15.04,6.67,93,70.858,1.05,840583 ,,,,,
Chris Stroud,102,290.9,0.222,0.502,-0.083,0.363,-0.322,0.18,1.61,11.11,8.25,326,71.121,0.59,203470 ,,,,,
Cody Gribble,488,296.9,-0.147,-0.76,-0.731,0.118,0.664,-0.096,1.48,17.88,9.33,212,71.453,1.29,1179554 ,,,,,
D.A. Points,357,269.8,-0.477,0.698,0.773,0.269,-0.265,0.3,1.64,13.43,6.83,227,70.945,1.24,648492 ,,,,,
Daniel Berger,629,296,0.421,0.567,0.251,-0.105,0.573,1.141,1.72,16.67,9.17,35,70.389,1.85,1686436 ,,,,,
Daniel Summerhays,98,286.6,0.123,-0.2,-0.492,0.208,0.031,-0.13,1.03,15.13,7.67,85,71.561,0.25,226637 ,,,,,
Danny Lee,171,290.9,0.103,0.18,0.334,-0.431,0.248,0.254,1.33,17.7,8.50,105,71.463,0.35,346364 ,,,,,
David Hearn,117,277.8,-0.129,0.12,0.019,0.144,-0.067,-0.033,1.33,13.95,6.58,185,71.354,0.25,229605 ,,,,,
David Lingmerth,59,288.6,-0.456,-0.782,0.014,-0.323,0.253,-0.512,1.17,16.09,8.83,109,71.925,0.17,114616 ,,,,,
